AOL02447.1,AGA15926.1,AAZ79676.1,AAR07955.1,AAS99282.1,AAS99281.1,AGA15924.1,ACB55317.1,AKU89598.1,AKU89597.1,ACB55316.1,AAS99259.1,AAS99250.1,AAS99251.1,AAS99248.1,ACB55314.1,AAS99286.1,AAS99254.1,AKU89599.1,AAS99289.1,AAS99243.1,AAS99290.1,AAS99244.1,ACB55311.1,AAO88193.1,AAS99306.1,AAO88209.1,AAO88196.1,AAS99240.1,ACB55315.1,AAS99258.1,AAS99246.1,AAS99253.1,AAS99252.1,AAO88206.1,AKU89601.1,AAS99256.1,ACB55312.1,AAO88186.1,AAO88184.1,AAO88185.1,ACB55305.1,AAO88203.1,AAO88204.1,AAS99296.1,ACB55309.1,ACB55308.1,AAS99291.1,AKU89603.1,AAB95452.1,ACB55304.1,AAS99301.1,AAS99300.1,AAS99268.1,AAS99265.1,AAS99308.1,AAS99287.1,AAS99280.1,AAS99307.1,ACB55307.1,AAS99278.1,AAS99298.1,AAS99284.1,AAS99304.1,AAS99309.1,AAU05368.1,AAU05372.1,AAU05358.1,AAU05371.1,AAS99277.1,AAS99273.1,AAS99271.1,AAT46339.1,pdb|4IOV|A,ABI16639.1,NP_044927.1,YP_077178.1,YP_077180.1,AAT46337.1,AAS99264.1,NP_049542.1,AAB95450.1,NP_043941.1,ABZ10812.1,3J1Q_A,AKU89595.1,YP_068409.1,YP_680426.1
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10842.0,    9654.0,    9678.0,    9592.0,    9692.0,    9516.0,    9691.0,    8746.0,    8667.0,    8372.0,    8667.0,    8667.0,    8469.0,    8387.0,    3981.0,    8659.0,    5662.0,    5911.0,    8246.0,    8219.0,    8219.0,    8246.0,    3568.0,    7472.0,    8246.0,    9372.0,    8246.0,    8246.0,    7459.0,    8246.0,    5173.0,    5173.0,     902.0,    7459.0,    4767.0,    4767.0,    8153.0,    4820.0,    4740.0,    4769.0,    4747.0,    4767.0,    4712.0,    4766.0,    4767.0,    4767.0,    4750.0,    4720.0,    4792.0,    4792.0,    4755.0,    4731.0,    4792.0,    4792.0,    4962.0,    4962.0,    4962.0,    4765.0,    4946.0,     284.0,    4962.0,    4411.0,    4411.0,    1692.0,    4381.0,    7472.0,    7941.0,    8667.0,    7517.0,    7459.0,    7432.0,    4740.0,    7400.0,    5222.0,    7539.0,       0.0,    4792.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    5827.0,    5851.0,    5765.0,    5865.0,    5730.0,    5864.0,    5425.0,    5536.0,    5241.0,    5536.0,    5536.0,    5338.0,    5256.0,     817.0,    5338.0,    4744.0,    4771.0,    5156.0,    5144.0,    5144.0,    5156.0,     635.0,    5140.0,    5156.0,    5735.0,    5156.0,    5156.0,    5130.0,    5156.0,    4255.0,    4255.0,     141.0,    5130.0,    4610.0,    4610.0,    5095.0,    4663.0,    4583.0,    4612.0,    4590.0,    4610.0,    4555.0,    4609.0,    4610.0,    4610.0,    4593.0,    4563.0,    4635.0,    4635.0,    4598.0,    4574.0,    4635.0,    4635.0,    4805.0,    4805.0,    4805.0,    4608.0,    4789.0,     284.0,    4805.0,    2239.0,    2239.0,    1692.0,    2241.0,    5140.0,    5556.0,    5536.0,    5220.0,    5130.0,    5103.0,    4583.0,    5103.0,    5009.0,    5195.0,       0.0,    4635.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10809.0,   10723.0,   10823.0,   10562.0,    9653.0,    9877.0,    9836.0,    9541.0,    9836.0,    9836.0,    9638.0,    9556.0,    5150.0,    9828.0,    6831.0,    7080.0,    9415.0,    9388.0,    9388.0,    9415.0,    4737.0,    8641.0,    9415.0,   10503.0,    9415.0,    9415.0,    8628.0,    9415.0,    6342.0,    6342.0,    2071.0,    8628.0,    5936.0,    5936.0,    9322.0,    5989.0,    5909.0,    5938.0,    5916.0,    5936.0,    5881.0,    5869.0,    5936.0,    5936.0,    5909.0,    5889.0,    5961.0,    5961.0,    5924.0,    5900.0,    5961.0,    5961.0,    6131.0,    6131.0,    6131.0,    5934.0,    6115.0,    1453.0,    6131.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    9110.0,    9836.0,    8686.0,    8628.0,    8601.0,    5909.0,    8569.0,    6391.0,    8708.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10747.0,   10847.0,   10548.0,    9677.0,    9901.0,    9822.0,    9527.0,    9822.0,    9822.0,    9624.0,    9542.0,    5136.0,    9814.0,    6817.0,    7066.0,    9401.0,    9374.0,    9374.0,    9401.0,    4723.0,    8627.0,    9401.0,   10527.0,    9401.0,    9401.0,    8614.0,    9401.0,    6328.0,    6328.0,    2057.0,    8614.0,    5922.0,    5922.0,    9322.0,    5975.0,    5895.0,    5924.0,    5916.0,    5922.0,    5875.0,    5855.0,    5922.0,    5922.0,    5909.0,    5875.0,    5947.0,    5947.0,    5924.0,    5900.0,    5947.0,    5947.0,    6117.0,    6117.0,    6117.0,    5920.0,    6115.0,    1439.0,    6117.0,    4411.0,    4411.0,    1692.0,    4381.0,    8627.0,    9096.0,    9822.0,    8672.0,    8614.0,    8587.0,    5895.0,    8555.0,    6377.0,    8694.0,       0.0,    5947.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10761.0,   10462.0,    9591.0,    9815.0,    9736.0,    9539.0,    9736.0,    9736.0,    9538.0,    9456.0,    5050.0,    9728.0,    6731.0,    6980.0,    9368.0,    9341.0,    9341.0,    9368.0,    4690.0,    8594.0,    9368.0,   10441.0,    9368.0,    9368.0,    8581.0,    9368.0,    6295.0,    6295.0,    2024.0,    8581.0,    5889.0,    5889.0,    9322.0,    5889.0,    5862.0,    5889.0,    5875.0,    5889.0,    5881.0,    5822.0,    5889.0,    5889.0,    5864.0,    5891.0,    5889.0,    5889.0,    5875.0,    5875.0,    5889.0,    5889.0,    6059.0,    6059.0,    6059.0,    5862.0,    6045.0,    1381.0,    6059.0,    4411.0,    4411.0,    1692.0,    4379.0,    8594.0,    9010.0,    9736.0,    8637.0,    8581.0,    8554.0,    5862.0,    8522.0,    6291.0,    8608.0,       0.0,    5889.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10562.0,    9691.0,    9915.0,    9836.0,    9541.0,    9836.0,    9836.0,    9638.0,    9556.0,    5150.0,    9828.0,    6831.0,    7080.0,    9415.0,    9388.0,    9388.0,    9415.0,    4737.0,    8641.0,    9415.0,   10541.0,    9415.0,    9415.0,    8628.0,    9415.0,    6342.0,    6342.0,    2071.0,    8628.0,    5936.0,    5936.0,    9322.0,    5989.0,    5909.0,    5938.0,    5916.0,    5936.0,    5881.0,    5869.0,    5936.0,    5936.0,    5909.0,    5889.0,    5961.0,    5961.0,    5924.0,    5900.0,    5961.0,    5961.0,    6131.0,    6131.0,    6131.0,    5934.0,    6115.0,    1453.0,    6131.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    9110.0,    9836.0,    8686.0,    8628.0,    8601.0,    5909.0,    8569.0,    6391.0,    8708.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    5642.0,    5316.0,    5513.0,    5218.0,    5513.0,    5513.0,    5316.0,    5234.0,     799.0,    5316.0,    4816.0,    4843.0,    5181.0,    5181.0,    5181.0,    5181.0,     664.0,    5181.0,    5181.0,    5663.0,    5181.0,    5181.0,    5181.0,    5181.0,    4327.0,    4327.0,     217.0,    5181.0,    4708.0,    4708.0,    5120.0,    4761.0,    4681.0,    4710.0,    4688.0,    4708.0,    4653.0,    4708.0,    4708.0,    4708.0,    4692.0,    4661.0,    4733.0,    4733.0,    4696.0,    4672.0,    4733.0,    4733.0,    4903.0,    4903.0,    4903.0,    4706.0,    4887.0,     386.0,    4903.0,    2192.0,    2192.0,    1692.0,    2194.0,    5181.0,    5513.0,    5513.0,    5238.0,    5181.0,    5154.0,    4681.0,    5154.0,    5013.0,    5234.0,       0.0,    4733.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,    8746.0,    8667.0,    8372.0,    8667.0,    8667.0,    8469.0,    8387.0,    3981.0,    8659.0,    5662.0,    5911.0,    8246.0,    8219.0,    8219.0,    8246.0,    3568.0,    7472.0,    8246.0,    9372.0,    8246.0,    8246.0,    7459.0,    8246.0,    5173.0,    5173.0,     902.0,    7459.0,    4767.0,    4767.0,    8153.0,    4820.0,    4740.0,    4769.0,    4747.0,    4767.0,    4712.0,    4766.0,    4767.0,    4767.0,    4750.0,    4720.0,    4792.0,    4792.0,    4755.0,    4731.0,    4792.0,    4792.0,    4962.0,    4962.0,    4962.0,    4765.0,    4946.0,     284.0,    4962.0,    4411.0,    4411.0,    1692.0,    4381.0,    7472.0,    7941.0,    8667.0,    7517.0,    7459.0,    7432.0,    4740.0,    7400.0,    5222.0,    7539.0,       0.0,    4792.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   10462.0,   10364.0,   10462.0,   10462.0,   10461.0,   10379.0,    5150.0,    9828.0,    6831.0,    7080.0,    9415.0,    9388.0,    9388.0,    9415.0,    4737.0,    8641.0,   10238.0,    9595.0,    9415.0,    9415.0,    8628.0,    9415.0,    6342.0,    6342.0,    2071.0,    8628.0,    5936.0,    5936.0,    9322.0,    5989.0,    5909.0,    5938.0,    5916.0,    5936.0,    5881.0,    5869.0,    5936.0,    5936.0,    5909.0,    5889.0,    5961.0,    5961.0,    5924.0,    5900.0,    5961.0,    5961.0,    5934.0,    5934.0,    5934.0,    5934.0,    5918.0,    1256.0,    5934.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    8913.0,   10462.0,    8686.0,    8628.0,    8601.0,    5909.0,    8569.0,    6194.0,    8708.0,       0.0,    5961.0
       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,   11515.0,   11810.0,   10827.0,   11612.0,   11530.0,    5017.0,    9695.0,    6888.0,    6947.0,    9415.0,    9388.0,    9388.0,    9385.0,    4737.0,    8641.0,   10208.0,    9724.0,    9385.0,    9385.0,    8628.0,    9385.0,    6342.0,    6342.0,    2071.0,    8628.0,    5936.0,    5936.0,    9322.0,    5989.0,    5909.0,    5938.0,    5916.0,    5936.0,    5881.0,    5869.0,    5936.0,    5936.0,    5909.0,    5889.0,    5961.0,    5961.0,    5924.0,    5900.0,    5961.0,    5961.0,    6131.0,    6131.0,    6131.0,    5934.0,    6115.0,    1453.0,    6131.0,    4411.0,    4411.0,    1692.0,    4381.0,    8641.0,    9076.0,   11810.0,    8652.0,    8628.0,    8601.0,    5909.0,    8569.0,    6357.0,    8708.0,       0.0,    5961.0
